,FullDate,Date_time,Date,DayDate,Month,Year,Week,Weekday,Day,Time,Timezone,UTC Time,Link,Heading,Data,City,State,Country,Category,Tags,Source,Summary,Negative_SentimentScore,Neutral_SentimentScore,Positive_SentimentScore,Aggregate_SentimentScore,Sentiment
0,"Aug 10, 2018 21:34 SGT",2018-08-10 21:34:00,2018-08-10,10,Aug,2018,32,5,Friday,21:34:00,SGT,13:34:00,https://www.newswire.com/news/ethos-and-shapeshift-partner-to-deepen-liquidity-and-advance-20595285,Ethos and ShapeShift Partner to Deepen Liquidity and Advance Enterprise Cryptocurrency Exchange,Unknown,SINGAPORE,MASSACHUSETTS.,USA,"['Cryptocurrency', 'Financial News']","['best', 'blockchain', 'coin', 'crypto', 'cryptocurrency', 'ethos', 'exchange', 'fintech', 'partner', 'shapeshift', 'token', 'wallet']", Ethos.io,"This integration will mean that Ethos users and enterprise customers will soon have access to the liquidity and exchange services for dozens of cryptocurrencies and tokens.
The Ethos Universal Wallet provides a secure, self-custodied mobile wallet where the user is in control of funds at all times.
Ethos Universal Wallet gives users the power to store, track, send and receive more than 100 tokens.
The Ethos Universal Wallet is available worldwide today.
The Ethos Universal Wallet enables anybody to securely safe-keep their own crypto assets easily, safely and for free.",0.0,0.843,0.157,0.9246,Positive
1,"Aug 10, 2018 09:00 EDT",2018-08-10 09:00:00,2018-08-10,10,Aug,2018,32,5,Friday,09:00:00,EDT,13:00:00,https://www.newswire.com/news/valiant-marketing-group-is-expanding-to-san-diego-20569279,Valiant Marketing Group is Expanding to San Diego,"
Valiant Marketing Group's Director of Operations discussed the firm's expansion into San Diego and the team members leading the charge. She also outlined a few prime benefits of having effective leaders.
",SANTA ANA, CA ,USA,['Business'],"['Valiant Marketing Group', 'Valiant Marketing Group CA', 'Valiant Marketing Group reviews']", Valiant Marketing Group,"Valiant Marketing Group's Director of Operations discussed the firm's expansion into San Diego and the team members leading the charge.
​It’s an exciting time around the Valiant Marketing Group office.
When jobseekers come into our San Diego office, they’ll immediately notice the supportive atmosphere Sarah has created.”About Valiant Marketing GroupValiant Marketing Group’s experts specialize in event-based outreach campaigns.
Valiant Marketing Group’s team members are knowledgeable, flexible, and highly skilled.
Source: Valiant Marketing Group",0.0,0.88,0.12,0.8126,Positive
2,"Aug 10, 2018 09:00 EDT",2018-08-10 09:00:00,2018-08-10,10,Aug,2018,32,5,Friday,09:00:00,EDT,13:00:00,https://www.newswire.com/news/black-book-launches-updated-mobile-survey-apps-for-cybersecurity-20595370,Black Book Launches Updated Mobile Survey Apps for Cybersecurity Stakeholders,"
Black Book released a major update to their mobile applications, providing an easier way for clients to rate cybersecurity services
",TAMPA, FLA.,USA,"['IT Security', 'Information Systems']","['""black book of cybersecurity""', 'black book', 'CISO', 'cybersecurity', 'information security', 'infosec']", Black Book Market Research LLC,"The beta release of these new Black Book apps has collected over 9,000 user viewpoints from cybersecurity systems and services worldwide since May 25.
“The survey development team has put in a tremendous amount of work to make this release possible over the three months,” said Doug Brown, founder of Black Book Market Research and Black Book Security.
Black Book screens responses to identify fraudulent votes, which are eliminated from the final tallies.
A minimum number of responses is necessary for a consultant firm or vendor to be eligible for inclusion in the Black Book ratings.
Source: Black Book Market Research LLC",0.031,0.933,0.036,-0.128,Negative
3,"Aug 10, 2018 08:00 EDT",2018-08-10 08:00:00,2018-08-10,10,Aug,2018,32,5,Friday,08:00:00,EDT,12:00:00,https://www.newswire.com/news/black-book-launches-updated-mobile-healthcare-survey-apps-20595371,Black Book Launches Updated Mobile Healthcare Survey Apps,"
Black Book released a major update to their mobile application, providing an easier way for clients to rate and review software and services
",TAMPA, FLA.,USA,"['Healthcare Technology', 'Healthcare', 'Medical Informatics']","['EHR', 'electronic health records', 'health IT', 'healthcare IT', 'hospitals', 'inpatient', 'managed care', 'nurses', 'physicians']", Black Book Market Research LLC,"The enhanced functionality was created to support the continued expansion of mobile healthcare surveying initiatives for Black Book’s more than 300,000 users.
“The survey development team has put in a tremendous amount of work to make this release possible over the past year,” said Doug Brown, founder of Black Book Market Research.
In 2009, Black Book began polling the client experience of healthcare software and services users.
For Black Book vendor satisfaction rating methodology, auditing, resources, comprehensive research and ranking data, see www.blackbookmarketresearch.com.
Source: Black Book Market Research LLC",0.0,0.897,0.103,0.8225,Positive
4,"Aug 10, 2018 05:00 PDT",2018-08-10 05:00:00,2018-08-10,10,Aug,2018,32,5,Friday,05:00:00,PDT,12:00:00,https://www.newswire.com/news/different-kinds-of-success-in-a-business-according-to-brandon-frere-20595308,"Different Kinds of Success in a Business, According to Brandon Frere",Unknown,PETALUMA, CALIF.,USA,['Entrepreneurship'],"['entrepreneurship', 'morality', 'small business owner', 'success']", Frere Enterprises,"Others create a business around what people need and might define their success by helping those who need their services.
Student loan borrowers needed someone to advocate for them, and that’s what I’ve aimed to do,” said Frere.
Making needed services too expensive or unavailable to many people is cruel, and a sort of gatekeeping.
Student loan borrowers needed someone to advocate for them, and that's what I've aimed to do.
Brandon Frere CEO of Frere EnterprisesAbout Frere EnterprisesBrandon Frere is an entrepreneur and businessman who lives in Sonoma County, California.",0.039,0.878,0.083,0.4939,Negative
5,"Aug 10, 2018 09:14 EDT",2018-08-10 09:14:00,2018-08-10,10,Aug,2018,32,5,Friday,09:14:00,EDT,13:14:00,https://www.newswire.com/news/forbes-top-next-gen-advisors-2018-names-centurion-wealths-sterling-20595049,Centurion Wealth's Sterling Neblett Named as Forbes Top Next-Gen Wealth Advisor,Unknown,MCLEAN, VA.,USA,['Business Finance'],"['2018', 'Centurion Wealth', 'Financial Planner', 'Forbes', 'Millennial', 'Money', 'Next-Gen Advisors', 'Sterling Neblett', 'Top Financial Advisor', 'Wealth Management']", Centurion Wealth Management,"Forbes recently recognized Sterling Neblett, CEPA, CFP®, founding partner of Centurion Wealth Management, as one of our country’s Top Next-Generation Wealth Advisors.
The wealth management industry is encountering forces that will forever change this industry.
Sterling Neblett Founding Partner, Centurion Wealth ManagementHigh thresholds were set to minimize the number of millennial advisors selected.
Based in McLean, Virginia, Centurion Wealth’s Sterling Neblett CEPA, CFP®, was recognized as one of the Forbes Top 1,000 Next-Generation Wealth Advisors.
Source: Centurion Wealth Management",0.0,0.744,0.256,0.9686,Positive
6,"Aug 10, 2018 05:00 PDT",2018-08-10 05:00:00,2018-08-10,10,Aug,2018,32,5,Friday,05:00:00,PDT,12:00:00,https://www.newswire.com/news/american-financial-benefits-center-moving-beyond-that-first-job-by-20595288,American Financial Benefits Center: Moving Beyond That First Job by Keeping Up With Student Loan Debt,Unknown,EMERYVILLE, CALIF.,USA,"['Financial News', 'Financing', 'Student Loans']","['career', 'federal student loans', 'first job', 'income-driven repayment']", American Financial Benefits Center,"Faced with a mountain of student loan debt and unstable career options, many borrowers take the first job they can find.
Millions of Americans face this and similar dilemmas as they struggle to pay back their student loan debt.
Millions of Americans are working as hard as they can every day and are still unable to keep up with their student loan debt.
And since this initial underemployment can prove so challenging to escape, this gender gap persists over time, making student loan repayment increasingly difficult.
American Financial Benefits Center NewsroomContactTo learn more about American Financial Benefits Center, please contact:American Financial Benefits Center1900 Powell Street #600​Emeryville, CA 946081-800-488-1490​info@afbcenter.comSource: American Financial Benefits Center",0.135,0.736,0.129,0.0464,Negative
7,"Aug 10, 2018 05:00 PDT",2018-08-10 05:00:00,2018-08-10,10,Aug,2018,32,5,Friday,05:00:00,PDT,12:00:00,https://www.newswire.com/news/should-everyone-be-sitting-or-standing-at-the-workplace-febc-asks-why-20595289,"Should Everyone Be Sitting or Standing at the Workplace? FEBC Asks, Why Not Both?",Unknown,SAN RAMON, CALIF.,USA,"['Active', 'Healthy Living']","['desk', 'health and wellness', 'office work', 'sitting', 'standing']", Financial Education Benefits Center,"Financial Education Benefits Center (FEBC), a health and wellness benefits company, suggests moderation between sitting and standing may be the key.
Another study suggested sitting an extra 40 minutes a day dramatically increased the risk of type two diabetes.
""From a layperson’s perspective, moderation between sitting, standing and walking seems to be a good idea.
About Financial Education Benefits CenterFinancial Education Benefits Center is located in San Ramon, California.
Financial Education Benefits Center NewsroomContactTo learn more about Financial Education Benefits Center, please contact:Financial Education Benefits Center2010 Crow Canyon Place Ste.",0.02,0.708,0.272,0.9729,Positive
8,"Aug 10, 2018 08:00 EDT",2018-08-10 08:00:00,2018-08-10,10,Aug,2018,32,5,Friday,08:00:00,EDT,12:00:00,https://www.newswire.com/news/car-throttle-teams-up-with-michelin-to-livestream-monterey-car-week-20595008,Car Throttle Teams Up With Michelin to Livestream Monterey Car Week 2018 for Enthusiasts Around the World,Unknown,NEW YORK,MASSACHUSETTS.,USA,['Automotive'],"['Advertising', 'Automotive', 'Car Throttle', 'Cars', 'Livestreaming', 'Michelin', 'Monterey Car Week', 'Social Media']", Car Throttle,"​Car Throttle, the largest media company for social auto enthusiasts, has teamed up with Michelin to livestream the 2018 Monterey Car Week in California, renowned as one of the world’s most prestigious and exclusive venues for automotive enthusiasts.
The partnership marks the second time Michelin has teamed up with Car Throttle at Monterey Car Week, with the first campaign reaching over 6 million enthusiasts in just two weeks.
--- About Car Throttle ---Car Throttle was founded by Adnan Ebrahim in 2009, from his university bedroom in London.
Headquartered in Greenville, S.C., Michelin North America (www.michelinman.com) employs about 22,700 and operates 19 major manufacturing plants.
Source: Car Throttle",0.0,0.904,0.096,0.83,Positive
9,"Aug 10, 2018 05:00 EDT",2018-08-10 05:00:00,2018-08-10,10,Aug,2018,32,5,Friday,05:00:00,EDT,09:00:00,https://www.newswire.com/news/belgard-holds-second-annual-giveaway-in-honor-of-national-smores-day-20592082,Belgard® Holds Second Annual Giveaway in Honor of National S'mores Day,"
Homeowners Can Submit Story or Recipe for Chance to Win Fire Pit Kit and Year's Supply of Chuao Chocolate from Outdoor Living Company
",ATLANTA,MASSACHUSETTS.,USA,"['Home Improvement and Renovations', 'Gardens', 'L', 'scape']","['Chocolate', 'Fire Pit', 'Hardscape', ""National S'mores Day"", 'Outdoor Living', ""S'mores""]", Belgard,"Belgard®, the leader in outdoor living essentials for the patio and beyond, announces the kick-off of its annual National S'mores Day giveaway in partnership with Chuao Chocolatier, continuing through Friday, Aug. 31.
""Fire pits extend the outdoor living experience beyond summer, allowing for more outdoor nights, chances to entertain friends and family, and, of course, a place to create s'mores treats year-round.
""Fire pits extend the outdoor living experience beyond summer, allowing for more outdoor nights, chances to entertain friends and family and, of course, a place to create s'mores treats year-round.
one bite at a time,"" says Chef Michael Antonorsi of Chuao Chocolatier.
About Belgard®Belgard, part of Oldcastle® Architectural, offers a complete collection of paver and wall products for outdoor living spaces, walkways, driveways, parking areas and retaining walls.",0.034,0.807,0.159,0.9291,Positive
